UID,ALL_AgeOfOldestAccount,ALL_SumCurrentOutstandingBalExcMtg,ALL_WorstPaymentStatusActiveAccounts
216009,227,9292.0,7
217537,49,4592.0,7
221803,134,2737.0,7
222260,227,9229.0,7
222848,132,15443.0,0
223136,16,1010.0,0
225032,127,5833.0,7
225204,178,18040.0,0
225703,104,11606.0,2
227350,141,2803.0,7
227377,129,5801.0,7
227892,79,2933.0,0
228377,148,9726.0,0
229756,126,17318.0,0
229965,112,15123.0,0
229999,51,21242.0,0
231767,203,3825.0,0
232307,95,3645.0,0
232669,236,6336.0,0
232924,150,7003.0,0
232938,136,900.0,0
233082,133,1147.0,0
233128,81,7544.0,0
233894,70,1123.0,7
236438,133,7185.0,0
237303,129,53589.0,0
238604,51,2576.0,7
239100,167,6990.0,0
239650,115,23507.0,0
239699,156,6044.0,0
240674,74,17391.0,0
241610,13,731.0,0
243530,276,29298.0,0
244054,300,27256.0,0
244185,101,2164.0,7
244997,116,3490.0,0
245810,175,41004.0,0
247807,123,21894.0,0
248290,302,15250.0,0
248594,238,69546.0,0
249840,197,23657.0,0
251266,320,31161.0,0
252583,146,1193.0,0
253964,232,18041.0,0
255595,154,5053.0,7
257007,82,1778.0,0
257370,91,670.0,7
258900,181,10275.0,0
260381,159,11854.0,7
266667,61,4487.0,7
267345,173,6814.0,7
269187,153,9583.0,0
269512,232,8270.0,0
269829,56,596.0,0
271091,178,23243.0,0
272337,76,6266.0,7
272581,262,43581.0,0
272936,124,6908.0,7
273061,238,13299.0,6
276261,97,14826.0,0
277122,118,6629.0,0
277251,87,5299.0,7
278709,94,1898.0,7
278839,225,6921.0,0
279051,194,60289.0,0
281296,176,33630.0,7
281680,95,11400.0,7
281845,233,16943.0,0
283142,181,6109.0,7
284189,246,33651.0,0
284406,80,1933.0,7
284971,268,50953.0,0
286296,87,5959.0,7
287342,151,5875.0,7
287863,454,22103.0,7
289958,70,4009.0,7
290091,267,11929.0,0
290740,203,2767.0,0
290922,92,20262.0,7
291728,390,14312.0,7
291965,67,15923.0,0
292069,191,8831.0,0
292097,126,6893.0,7
292125,99,19313.0,0
293318,39,1403.0,0
294786,279,6918.0,2
294870,151,3977.0,7
295556,217,42516.0,0
297260,90,4560.0,7
298571,159,2133.0,7
298582,138,2425.0,0
298870,124,13126.0,2
298988,166,17933.0,0
299358,147,3440.0,0
299379,112,3281.0,7
300810,154,13130.0,7
300934,362,47885.0,1
301859,150,5722.0,7
304292,339,0.0,0
304600,150,2610.0,0
305568,299,2514.0,0
305623,243,24021.0,0
307714,137,669.0,7
308925,248,9474.0,7
311269,74,14898.0,0
311277,169,22256.0,0
312130,183,3749.0,0
313292,74,5384.0,0
315470,223,14077.0,0
315580,175,13698.0,0
316843,256,30092.0,0
318629,116,12370.0,7
320883,357,9302.0,0
321319,64,29264.0,0
321981,389,73420.0,0
322359,86,5737.0,7
322784,198,33435.0,0
323629,274,13366.0,7
324011,149,5023.0,0
330569,124,58852.0,0
331353,197,5573.0,0
332011,104,29515.0,0
332799,171,6425.0,7
335198,86,24842.0,7
335537,154,3364.0,0
337369,152,10100.0,7
337486,64,9522.0,0
339122,148,6435.0,0
339634,149,2290.0,0
339880,161,6521.0,0
340797,302,7672.0,7
341992,113,0.0,0
343144,167,19698.0,0
343519,204,14185.0,0
345888,133,6156.0,7
346260,141,15312.0,0
347257,138,19433.0,0
348158,267,6777.0,0
348219,99,7659.0,0
349311,280,17003.0,0
349771,115,5551.0,7
350662,242,19000.0,7
351012,53,6236.0,0
351421,53,649.0,7
353239,259,10428.0,7
356157,98,1371.0,0
358276,59,2595.0,0
358612,266,15263.0,0
359354,148,11209.0,7
359736,34,3036.0,0
360555,85,1793.0,0
361424,265,12294.0,0
361439,120,1721.0,1
363845,251,29752.0,0
364541,374,7344.0,0
365286,207,6737.0,7
365946,267,4095.0,0
366594,127,52869.0,0
366631,283,5802.0,5
367073,64,41559.0,0
367535,178,17420.0,0
368151,290,13752.0,7
370498,139,10944.0,0
371199,231,19054.0,7
371322,281,20035.0,0
372666,123,554.0,7
372907,253,4533.0,0
376118,83,25750.0,0
377323,178,10752.0,0
378089,297,23224.0,7
378104,211,120378.0,0
378122,275,13091.0,7
378739,122,18791.0,0
380962,109,1370.0,0
381272,148,19141.0,7
381276,142,3344.0,7
382198,85,25881.0,0
382965,254,5139.0,0
383172,128,37135.0,3
383733,61,12541.0,0
385026,111,23613.0,7
385478,245,3590.0,1
387301,61,26329.0,0
387346,91,18803.0,0
387485,254,10283.0,0
389383,165,18475.0,0
391896,233,9629.0,0
398019,133,20627.0,0
398122,91,19205.0,0
399081,237,2797.0,0
399559,201,16334.0,1
399645,95,3132.0,0
401313,291,10560.0,0
401432,89,9483.0,7
402001,287,196.0,0
402868,143,22861.0,0
403232,363,13400.0,0
406560,104,6779.0,7
407785,41,509.0,7
408333,192,6157.0,0
411248,232,1645.0,1
412057,210,16445.0,0
412451,273,11048.0,7
413147,52,2431.0,0
413981,39,2455.0,0
414203,290,38577.0,0
414730,221,23167.0,0
417707,281,14469.0,0
417859,98,5057.0,0
420282,146,37652.0,0
422409,126,15075.0,7
423582,62,4437.0,7
426001,195,13761.0,0
426356,223,6675.0,7
426945,47,20632.0,0
427215,122,7364.0,0
427443,68,22155.0,7
430143,249,75327.0,0
433876,37,0.0,0
434956,49,778.0,0
436476,314,20079.0,7
437385,123,21651.0,0
438688,282,25943.0,1
438916,104,1773.0,7
440344,105,1855.0,0
443541,256,4312.0,7
445262,138,17441.0,0
446598,289,15871.0,0
448091,65,2076.0,7
448472,124,392.0,0
449197,18,0.0,0
450335,148,567.0,0
450459,184,137.0,0
451198,161,27681.0,0
452139,126,12258.0,7
452674,293,8802.0,0
452736,166,8046.0,0
454924,101,3264.0,7
456127,102,1406.0,0
457646,183,925.0,0
459322,91,5469.0,7
459601,59,9316.0,0
460517,114,8309.0,0
461164,178,3038.0,4
461180,118,10763.0,0
462610,96,10272.0,0
463719,172,6873.0,7
466756,78,5229.0,7
467303,170,5413.0,7
468633,126,19940.0,0
469875,201,8410.0,7
470045,93,3702.0,7
470519,232,10595.0,7
473029,177,15273.0,0
474968,157,2160.0,7
475235,121,27467.0,0
475612,67,7152.0,0
477945,331,8304.0,0
478153,34,1664.0,7
478192,193,7968.0,7
478318,107,7182.0,7
479331,177,7402.0,7
482248,-1,,
483688,60,914.0,4
484551,257,7162.0,0
485317,73,3388.0,7
488177,179,0.0,0
489527,163,38551.0,0
490158,227,13989.0,0
495453,172,37331.0,0
497686,47,92.0,3
498519,296,20526.0,0
499955,57,34481.0,0
500107,212,30101.0,7
500545,19,655.0,0
501304,68,22935.0,0
501970,186,33127.0,0
502032,103,6180.0,7
502527,90,17906.0,5
502860,246,19972.0,0
502911,90,22264.0,7
503369,131,16286.0,5
505359,217,652.0,0
506176,137,28391.0,7
507889,145,17261.0,0
509310,223,1812.0,0
509728,106,1249.0,0
510618,185,2384.0,7
511149,146,17729.0,0
514891,259,9158.0,1
515930,65,20502.0,0
516478,213,71755.0,0
518833,110,26013.0,7
519321,127,735.0,7
519377,40,26631.0,0
519691,46,,
519707,156,32596.0,0
519727,271,103.0,0
520740,89,1419.0,0
522223,251,15245.0,0
522387,139,14494.0,7
525901,199,10678.0,7
527763,255,24679.0,0
527840,167,7162.0,7
528411,154,20216.0,0
528641,153,6927.0,0
529942,195,10648.0,0
531624,119,9248.0,7
531725,158,27461.0,0
531928,150,16365.0,7
532515,222,44832.0,0
532686,47,4983.0,0
532699,148,19259.0,0
533580,205,15380.0,0
533733,100,54231.0,0
534359,288,18302.0,0
535170,229,78637.0,0
536493,72,2434.0,0
537523,135,5335.0,4
538224,159,21634.0,7
538892,2,0.0,0
538929,443,3070.0,7
542430,64,1151.0,7
542871,52,0.0,0
542943,87,3589.0,7
547694,161,360.0,0
548147,362,42888.0,0
548204,334,19268.0,0
549442,230,11289.0,7
551407,98,18151.0,7
553887,226,7575.0,7
555203,146,17860.0,7
556318,238,19692.0,0
557552,33,0.0,0
560689,254,14430.0,0
561166,35,134.0,0
561815,155,4307.0,0
563028,283,11773.0,0
564347,94,1098.0,0
566236,72,5563.0,7
568159,170,4878.0,0
569563,148,799.0,0
569579,8,181.0,0
571084,281,935.0,7
571412,118,3.0,0
572266,177,29625.0,0
574160,113,26997.0,0
574565,280,15965.0,0
575413,295,28156.0,0
575547,115,10640.0,7
575674,12,1923.0,0
576544,273,66426.0,0
578699,98,1021.0,6
579523,156,5307.0,7
579958,999,7641.0,7
580218,189,11247.0,0
580300,89,32168.0,0
580973,62,15689.0,0
582981,164,2305.0,0
583072,152,977.0,7
583380,205,7040.0,0
585142,175,5766.0,0
585350,406,13575.0,0
586461,37,347.0,0
587480,159,24024.0,0
587761,168,12590.0,0
591721,156,17923.0,0
592378,214,3633.0,0
593248,246,1430.0,0
596903,32,615.0,0
598309,119,381.0,1
599030,137,2535.0,7
600029,71,3540.0,7
600142,62,10814.0,7
600992,311,25965.0,0
602023,57,26144.0,0
602646,132,486.0,0
602907,161,6907.0,7
603114,105,6609.0,7
603121,180,16454.0,0
603129,181,11131.0,0
605582,89,2561.0,0
605866,238,32411.0,0
606234,79,1224.0,7
606308,217,51434.0,2
611721,161,11373.0,7
612238,137,12610.0,0
612901,277,27555.0,0
612939,415,42307.0,0
612952,65,26441.0,7
615058,216,13894.0,0
615165,170,0.0,0
616789,279,4851.0,7
616822,138,16334.0,0
618162,120,1197.0,7
620245,161,42060.0,0
620787,154,11990.0,7
622581,267,13129.0,0
623602,210,1509.0,0
625549,237,4333.0,7
628139,222,21261.0,0
628957,68,472.0,1
629483,38,0.0,0
630190,45,25669.0,0
631317,144,2829.0,0
633457,14,0.0,0
634956,177,14955.0,0
635364,111,9752.0,0
635532,235,25728.0,0
635825,145,4768.0,0
637248,255,18541.0,0
637398,124,1871.0,0
638511,353,1570.0,7
642813,214,23698.0,0
644147,66,241.0,7
644558,54,11037.0,0
645608,107,23681.0,7
646203,383,20376.0,0
646271,76,1956.0,7
646950,289,9716.0,0
648145,87,16530.0,0
649086,331,9007.0,4
649497,132,11056.0,0
650821,191,20598.0,0
652378,22,1493.0,0
652716,141,30254.0,7
654253,166,461.0,0
655399,212,8570.0,0
656260,72,3808.0,7
656486,201,3359.0,7
656997,205,29788.0,0
658020,37,0.0,0
659138,209,6579.0,7
660242,150,4199.0,0
660703,121,2749.0,0
661719,136,15589.0,0
662466,127,18542.0,0
665252,173,892.0,7
665616,97,723.0,7
666128,97,1379.0,0
666279,209,8352.0,0
667851,203,8605.0,0
668378,4,675.0,0
668424,138,2398.0,0
668499,107,1491.0,0
668541,147,12698.0,7
668857,40,83.0,0
670875,121,4942.0,7
671372,145,10091.0,7
672190,-1,,
672842,77,17073.0,0
673553,290,39550.0,0
674318,205,12971.0,0
674410,12,738.0,0
677203,323,16455.0,0
677791,124,4758.0,7
679489,182,24024.0,0
681988,125,12527.0,7
682922,203,5453.0,0
683220,31,2755.0,0
683816,302,51664.0,0
684241,421,0.0,0
684757,234,0.0,0
688037,88,11056.0,7
688677,294,4066.0,0
691081,78,744.0,0
691083,155,12212.0,0
691089,124,19489.0,1
693153,226,22.0,7
693660,217,57392.0,0
694272,218,14146.0,0
698243,254,11342.0,0
698358,-1,,
700831,-1,,
700982,96,7791.0,0
702136,160,9484.0,0
702946,149,11390.0,0
703241,471,69640.0,0
704927,272,32881.0,0
705064,154,8226.0,0
705090,73,8778.0,0
706187,220,940.0,7
711119,102,9225.0,7
711671,143,16740.0,7
713864,145,14664.0,0
713958,103,2637.0,0
714440,-1,,
715729,119,21503.0,0
716100,143,1741.0,0
716647,71,7405.0,0
718048,97,21609.0,0
719155,40,3517.0,0
719226,58,7014.0,7
719392,21,0.0,0
719441,168,1855.0,0
720605,60,0.0,0
722269,33,23718.0,0
722979,117,4719.0,7
723446,288,20635.0,7
724217,86,14717.0,7
725354,554,0.0,0
725581,57,1688.0,0
726190,194,19756.0,0
727047,117,64.0,7
727245,298,1835.0,0
727271,71,2093.0,0
727411,465,0.0,0
727810,175,0.0,0
728049,161,1720.0,0
728533,260,5295.0,0
729855,131,0.0,0
733001,64,0.0,0
733850,141,0.0,0
734871,150,10118.0,0
735158,259,442.0,0
737444,186,29846.0,0
738740,89,0.0,0
739494,134,6286.0,7
740774,293,44311.0,0
741060,44,193.0,0
741316,234,8591.0,7
744800,135,0.0,0
744914,92,4865.0,0
745418,233,1652.0,7
745506,258,8973.0,0
746924,25,543.0,0
748425,404,0.0,0
748586,115,22299.0,0
748787,112,15152.0,7
749112,241,2984.0,7
749270,268,13536.0,0
749764,137,6080.0,0
750157,237,10340.0,0
750920,100,5513.0,7
751573,348,46152.0,7
751971,-1,,
754697,210,3205.0,7
754961,134,7975.0,7
756098,227,39475.0,0
756787,246,8202.0,0
757713,165,17065.0,0
759388,166,572.0,7
759645,129,25041.0,0
760268,195,10460.0,7
761461,47,4584.0,7
761719,145,5735.0,0
762406,194,13526.0,7
764328,174,10301.0,7
766320,75,15455.0,7
766560,67,3937.0,7
767044,170,818.0,0
770713,123,21890.0,0
771625,138,0.0,0
774508,301,22050.0,0
776832,160,341.0,0
777537,291,11574.0,0
778509,20,25.0,0
779837,165,14018.0,0
782748,254,22219.0,0
784518,113,836.0,0
785089,125,18527.0,7
785566,250,22282.0,0
787090,213,17775.0,0
787181,170,29988.0,0
787226,24,268.0,0
789154,108,24112.0,0
789262,129,8842.0,0
791141,88,103.0,0
793452,190,8868.0,0
794272,148,17049.0,0
794502,232,7173.0,7
798594,231,125788.0,0
798997,51,5888.0,7
799483,218,31119.0,0
800058,111,8999.0,7
800939,125,40009.0,0
804030,-1,,
806111,135,7274.0,7
806292,85,15834.0,7
808346,132,5424.0,0
811328,243,4701.0,0
814100,105,51404.0,0
814579,232,12733.0,0
815015,51,2985.0,0
815913,89,20825.0,0
816993,122,5785.0,7
818047,36,5630.0,6
818392,87,3760.0,7
820215,351,6466.0,0
820845,78,14244.0,0
822702,99,6241.0,1
823550,139,560.0,0
823719,172,11813.0,0
824411,34,2130.0,7
824813,290,25848.0,7
824975,388,10175.0,7
825018,153,2008.0,0
825773,92,40188.0,7
825781,71,1004.0,7
825853,147,1935.0,0
827200,71,66.0,1
828037,227,4367.0,0
833554,300,3943.0,2
833864,129,102378.0,0
833982,140,6363.0,7
834314,139,9907.0,0
834818,114,2522.0,7
835795,39,0.0,0
836235,229,10830.0,0
842257,90,8861.0,7
842403,245,1186.0,0
843052,215,147.0,0
843301,143,9323.0,0
843380,79,4770.0,7
843825,214,8301.0,0
846472,28,3544.0,0
848593,149,13625.0,0
848709,260,28996.0,7
848896,58,10568.0,7
852610,208,6384.0,7
853157,174,41894.0,0
854706,119,15471.0,2
855174,122,18839.0,0
855871,215,25058.0,0
857931,110,11986.0,7
861639,285,69386.0,0
862822,191,16421.0,0
867268,13,0.0,0
867537,114,17754.0,7
867538,177,10980.0,7
867542,210,21587.0,0
867826,146,708.0,0
870787,98,8085.0,7
871887,178,4875.0,7
872320,79,2501.0,7
872613,194,84716.0,0
874756,114,15733.0,7
876741,122,7994.0,0
878486,185,11514.0,7
879590,160,24911.0,0
881106,64,11531.0,7
881610,150,12509.0,0
882097,161,42914.0,0
882458,119,6475.0,7
882797,151,4816.0,7
883077,87,1889.0,7
883353,305,16555.0,0
883585,101,298.0,7
884894,117,11746.0,0
886397,101,3039.0,7
886438,44,8156.0,0
887104,112,8421.0,0
892095,170,1879.0,0
892225,130,3096.0,7
892615,220,43293.0,7
895814,193,34040.0,0
895844,267,13433.0,0
896324,113,1024.0,7
898105,204,24017.0,7
899622,389,31641.0,0
899652,237,1976.0,0
900024,64,1550.0,0
900034,110,0.0,0
900720,75,910.0,7
902187,161,18759.0,7
902362,206,48352.0,0
902845,227,13930.0,0
905517,118,40182.0,0
907207,127,9228.0,0
907447,80,16605.0,0
907478,303,10624.0,7
908643,99,16381.0,0
909250,48,2316.0,7
910309,65,5200.0,7
911252,33,0.0,0
911670,149,18365.0,0
912220,271,12219.0,0
912630,137,17774.0,0
913716,77,2027.0,7
913839,217,4272.0,0
914133,8,3363.0,0
914664,151,38164.0,0
914706,159,22837.0,0
917117,292,27633.0,0
917626,193,22227.0,0
921165,211,7330.0,0
922105,44,355.0,7
924856,158,11265.0,0
926360,90,473.0,0
927085,50,0.0,0
929193,134,25214.0,0
929834,187,26460.0,0
930732,171,17591.0,0
930917,125,26995.0,0
931033,128,7077.0,0
932939,76,2133.0,7
933284,246,26686.0,0
933833,78,11490.0,6
935505,134,21843.0,0
936539,259,212.0,0
939232,117,7016.0,7
940198,119,822.0,7
941163,225,26546.0,0
941214,212,17871.0,0
943396,49,9912.0,0
945203,226,47887.0,0
946093,67,3255.0,7
946317,-1,,
946351,127,4311.0,7
946377,134,21839.0,7
946753,244,15362.0,0
946754,258,35428.0,0
947159,202,6546.0,0
947196,136,956.0,0
947728,232,36168.0,0
948111,101,5497.0,7
948186,138,10115.0,7
948456,159,5625.0,7
948564,185,45343.0,7
949243,140,11645.0,0
949472,199,46147.0,0
949531,270,43390.0,0
950240,149,5556.0,6
950916,169,1709.0,0
951422,73,1310.0,7
953330,110,18238.0,0
954242,107,16739.0,1
955478,191,19731.0,0
956892,83,2439.0,7
958037,119,8777.0,0
959613,315,0.0,0
960133,94,5804.0,7
964710,121,21158.0,7
965504,339,6166.0,7
965982,170,11788.0,0
966797,254,7601.0,0
970420,237,10253.0,0
970593,100,1885.0,7
976105,124,7049.0,0
981119,123,4422.0,7
981229,229,2484.0,7
982212,53,0.0,0
983393,150,700.0,7
984389,166,6324.0,7
985571,165,25052.0,0
989045,166,18478.0,0
990174,139,8367.0,0
990837,98,15701.0,0
995780,274,51099.0,0
